SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0111955,1,59,66,1,9,5,14,88000,0,0,0,6,4,5,2,04414,1019518
2023GQ0111998,1,71,62,2,2,1,1,1000,6,3602,6,1,5,3,2,04412,1019518
2023GQ0112019,1,74,47,1,2,1,17,12000,78,0,0,6,1,3,1,04111,1019518
2023GQ0112023,1,97,20,1,6,1,19,22900,0,4540,2,1,1,5,1,04121,1019518
2023GQ0112041,1,6,95,2,1,1,12,15600,0,0,0,6,1,2,1,04413,1019518
2023GQ0112054,1,73,18,1,2,1,18,27000,0,4110,1,1,1,5,1,04107,1019518
2023GQ0112076,1,80,22,1,1,1,18,2000,0,4110,1,6,1,5,1,04263,1019518
2023GQ0112126,1,51,71,1,1,1,16,7200,0,0,0,6,1,1,1,04502,1019518
2023GQ0112128,1,8,63,1,1,1,24,7300,46,2040,2,1,1,5,1,04165,1019518
2023GQ0112140,1,82,36,1,2,1,19,5400,35,3930,1,6,1,5,1,04263,1019518
2023GQ0112146,1,22,76,1,2,1,22,0,0,0,0,6,5,5,2,04211,1019518
2023GQ0112166,1,13,33,2,1,1,1,16200,103,0,0,6,1,5,1,04412,1019518
2023GQ0112225,1,84,21,2,9,5,19,700,0,9620,4,1,1,5,1,04121,1019518
2023GQ0112247,1,88,18,2,1,1,16,5000,0,4110,1,1,1,5,1,04165,1019518
2023GQ0112283,1,29,22,2,1,1,19,4000,0,5240,1,6,1,5,1,04210,1019518
2023GQ0112333,1,59,22,1,2,1,16,0,0,0,0,6,1,5,1,04307,1019518
2023GQ0112403,1,57,20,2,6,1,19,6000,0,5400,1,1,1,5,1,04104,1019518
2023GQ0112630,1,60,19,2,6,1,19,3600,0,4760,1,6,1,5,1,04104,1019518
2023GQ0112709,1,19,20,2,2,1,19,9020,0,2006,4,1,1,5,1,04109,1019518
2023GQ0112762,1,56,68,2,2,1,19,8100,0,0,0,6,1,4,1,04304,1019518
2023GQ0112765,1,62,23,2,1,1,21,2300,0,2300,1,6,1,5,1,04109,1019518
2023GQ0112768,1,118,43,1,2,24,13,10800,70,0,0,6,1,5,1,04110,1019518
2023GQ0113013,1,47,55,2,8,1,19,0,0,0,0,6,4,3,2,04309,1019518
2023GQ0113015,1,4,69,2,1,1,19,2200,0,0,0,6,1,2,1,04211,1019518
2023GQ0113049,1,13,61,1,2,1,16,19300,123,0,0,6,1,5,1,04317,1019518
2023GQ0113053,1,4,30,1,1,1,17,14600,93,0,0,6,1,5,1,04312,1019518
2023GQ0113073,1,72,18,2,2,1,16,0,0,0,0,6,1,5,1,04317,1019518
2023GQ0113091,1,61,39,2,8,5,12,11200,71,0,0,6,5,1,2,04302,1019518
2023GQ0113115,1,64,85,1,1,1,20,15400,0,0,0,6,1,5,1,04303,1019518
2023GQ0113197,1,27,95,2,1,1,21,26400,0,0,0,6,4,2,2,04315,1019518
